types,counts,total_unique,probs
Sergio,141,4256,7.253537900249964e-05
Duncan,141,4256,7.253537900249964e-05
Denver,140,4256,7.202094369042518e-05
Eli,140,4256,7.202094369042518e-05
Mathew,140,4256,7.202094369042518e-05
Armand,139,4256,7.15065083783507e-05
Ed,139,4256,7.15065083783507e-05
Emery,139,4256,7.15065083783507e-05
Irwin,139,4256,7.15065083783507e-05
Rolando,139,4256,7.15065083783507e-05
Booker,138,4256,7.099207306627624e-05
Bryce,138,4256,7.099207306627624e-05
Delmar,138,4256,7.099207306627624e-05
Dwain,138,4256,7.099207306627624e-05
Bart,137,4256,7.047763775420178e-05
Jamie,137,4256,7.047763775420178e-05
Linda,137,4256,7.047763775420178e-05
Vito,136,4256,6.996320244212732e-05
Dickie,135,4256,6.944876713005284e-05
Anton,134,4256,6.893433181797838e-05
Emilio,134,4256,6.893433181797838e-05
Guillermo,134,4256,6.893433181797838e-05
Hiram,134,4256,6.893433181797838e-05
Isaiah,134,4256,6.893433181797838e-05
Jerold,134,4256,6.893433181797838e-05
Santiago,134,4256,6.893433181797838e-05
Damon,133,4256,6.841989650590392e-05
Lindsey,133,4256,6.841989650590392e-05
Shelby,132,4256,6.790546119382945e-05
Clair,131,4256,6.739102588175498e-05
Quentin,130,4256,6.687659056968052e-05
Coy,129,4256,6.636215525760606e-05
Seth,129,4256,6.636215525760606e-05
Arlen,128,4256,6.584771994553158e-05
Bernie,127,4256,6.533328463345712e-05
Reggie,126,4256,6.481884932138266e-05
Ryan,126,4256,6.481884932138266e-05
Stanford,126,4256,6.481884932138266e-05
Connie,126,4256,6.481884932138266e-05
Benito,125,4256,6.430441400930819e-05
Butch,124,4256,6.378997869723372e-05
Errol,124,4256,6.378997869723372e-05
Shelton,124,4256,6.378997869723372e-05
Clement,123,4256,6.327554338515926e-05
Hershel,123,4256,6.327554338515926e-05
Douglass,122,4256,6.27611080730848e-05
Kenton,122,4256,6.27611080730848e-05
Myles,122,4256,6.27611080730848e-05
Sonny,122,4256,6.27611080730848e-05
Rusty,121,4256,6.224667276101033e-05
Carson,121,4256,6.224667276101033e-05
Ian,120,4256,6.173223744893586e-05
Ignacio,120,4256,6.173223744893586e-05
Scotty,120,4256,6.173223744893586e-05
Dalton,119,4256,6.12178021368614e-05
Chad,118,4256,6.0703366824786934e-05
Johnie,116,4256,5.9674496200638004e-05
Major,116,4256,5.9674496200638004e-05
Mac,115,4256,5.9160060888563535e-05
Nickolas,115,4256,5.9160060888563535e-05
Brady,114,4256,5.8645625576489074e-05
Lavern,114,4256,5.8645625576489074e-05
Wilton,114,4256,5.8645625576489074e-05
Burt,113,4256,5.8131190264414605e-05
Wilford,112,4256,5.7616754952340143e-05
Wilmer,112,4256,5.7616754952340143e-05
Rand,112,4256,5.7616754952340143e-05
Cameron,112,4256,5.7616754952340143e-05
Doug,112,4256,5.7616754952340143e-05
Hilton,112,4256,5.7616754952340143e-05
Rayford,111,4256,5.7102319640265675e-05
Buford,109,4256,5.6073449016116745e-05
Carmine,109,4256,5.6073449016116745e-05
